,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
127,128,1,1.199999999999999,1.2999999999999996,0.5000000000000183,1.8175956769584386e-08,1.6033348359989943e-08,9.552012621388477e-08,1.0,0.13,5.0,50.0,0.0
128,129,1,1.2,1.3,0.5000000000000205,1.3003403949625254e-08,1.141210595248303e-08,1.0090972696041847e-07,1.0,0.13,5.0,40.0,0.0
129,130,1,1.1999999999999997,1.2999999999999998,0.5000000000000226,9.698690846580784e-09,8.363007635759335e-09,1.0660344500407231e-07,1.0,0.13,5.0,40.0,0.0
130,131,1,1.2000000000000002,1.3000000000000003,0.5000000000000254,7.763459228461747e-09,6.4245539331979655e-09,1.1261843055220407e-07,1.0,0.13,5.0,40.0,0.0
131,132,0,1.2,1.2999999999999998,0.50000000000003,7.662336647137947e-09,6.0858773453415335e-09,1.22264549870942e-07,1.0,0.5,5.0,8.0,0.24
132,133,1,1.2,1.3000000000000003,0.5000000000000091,7.947606849193194e-09,7.197386960381682e-09,6.712257427519951e-08,1.0,0.5,5.0,8.0,0.24
133,134,1,1.2,1.3,0.5000000000000101,6.654817827971059e-09,5.841735403391641e-09,7.090989425538582e-08,1.0,0.13,5.0,40.0,0.0
134,135,1,1.2000000000000002,1.3000000000000003,0.5000000000000021,6.547834443578734e-09,6.7283188755155315e-09,3.19909107304898e-08,1.0,0.5,5.0,5.0,0.0
135,136,0,1.2000000000000002,1.3000000000000003,0.5000000000000022,5.6940421951946595e-09,2.949414378591226e-09,3.3262071879573845e-08,1.0,0.5,5.0,50.0,0.74
136,137,0,1.2000000000000002,1.3000000000000003,0.5000000000000026,5.555270862922993e-09,2.8026949186509945e-09,3.521971889456069e-08,1.0,0.25,5.0,8.0,0.0
137,138,1,1.2,1.2999999999999998,0.5000000000000028,4.605433050016774e-09,1.9374126538512345e-09,3.720695481445914e-08,1.0,0.13,5.0,40.0,0.0
138,139,0,1.2,1.3,0.5000000000000032,4.605841941556603e-09,1.8145732598942108e-09,3.976023359138108e-08,1.0,0.5,5.0,5.0,0.0
139,140,1,1.2,1.3,0.5000000000000013,5.967698544272218e-09,1.7597260803089608e-09,2.5358710543929522e-08,1.0,0.13,5.0,20.0,0.0
140,141,1,1.1999999999999995,1.2999999999999998,0.5000000000000001,5.160366737984488e-09,2.2711207412172057e-09,1.0211442443787841e-08,1.0,0.25,5.0,8.0,0.0
141,142,1,1.2,1.3,0.5000000000000001,6.4202178727398424e-09,2.2021910582766023e-09,6.51276387637207e-09,1.0,0.13,5.0,20.0,0.0
142,143,1,1.2000000000000002,1.3,0.5000000000000002,6.1594153811280455e-09,2.1310369441468997e-09,6.51992035179688e-09,1.0,0.5,5.0,50.0,0.5
143,144,1,1.2000000000000002,1.3,0.5000000000000001,5.997323535082103e-09,1.8978256289027313e-09,6.522868759855694e-09,1.0,0.25,5.0,40.0,0.0
144,145,0,1.2000000000000002,1.3,0.5000000000000001,6.036379633451384e-09,1.8361395316366683e-09,7.136439511950722e-09,1.0,0.38,5.0,8.0,0.0
145,146,0,1.2000000000000002,1.3,0.5000000000000002,5.5545586939041205e-09,1.8665849468228393e-09,7.675850036116255e-09,1.0,0.5,5.0,8.0,0.0
146,147,1,1.2000000000000002,1.3000000000000003,0.5000000000000002,5.4984579332562045e-09,1.2944644030656034e-09,8.10895188034478e-09,1.0,0.13,5.0,40.0,0.0
147,148,0,1.2000000000000004,1.3000000000000003,0.5000000000000002,5.004277284126416e-09,1.3156909271039843e-09,8.721870124692323e-09,1.0,0.5,5.0,8.0,0.0
148,149,0,1.2000000000000004,1.3000000000000003,0.5000000000000002,5.092330443078258e-09,1.2456121243145591e-09,9.018566515157614e-09,1.0,0.25,5.0,5.0,0.0
149,150,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,5.0280319278292425e-09,1.1115682957107838e-09,9.02264485110593e-09,1.0,0.25,5.0,40.0,0.0
150,151,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.986511599308614e-09,1.0414079899065821e-09,9.114261957067173e-09,1.0,0.5,5.0,40.0,0.5
151,152,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.953853351922718e-09,9.306635257555303e-10,9.11838356805921e-09,1.0,0.25,5.0,40.0,0.0
152,153,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.9283002302458435e-09,8.326415696353381e-10,9.122507042958489e-09,1.0,0.25,5.0,40.0,0.0
153,154,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.9168694929921085e-09,7.884474576618479e-10,9.122673603624e-09,1.0,0.25,5.0,50.0,0.0
154,155,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.9066745044651145e-09,7.468823171617855e-10,9.12284016733288e-09,1.0,0.25,5.0,50.0,0.0
155,156,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.897584840029922e-09,7.078053531175853e-10,9.123006734085149e-09,1.0,0.25,5.0,50.0,0.0
156,157,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.889483409267792e-09,6.710838152034606e-10,9.123173303880833e-09,1.0,0.25,5.0,50.0,0.0
157,158,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.882265178986516e-09,6.365925116455381e-10,9.123339876719952e-09,1.0,0.25,5.0,50.0,0.0
158,159,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.875836001214201e-09,6.042133436865045e-10,9.12350645260253e-09,1.0,0.25,5.0,50.0,0.0
159,160,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.870111541109219e-09,5.738348590086762e-10,9.123673031528592e-09,1.0,0.25,5.0,50.0,0.0
160,161,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.8650162991513965e-09,5.453518226835038e-10,9.123839613498165e-09,1.0,0.25,5.0,50.0,0.0
161,162,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.860482721651085e-09,5.186648044678157e-10,9.124006198511267e-09,1.0,0.25,5.0,50.0,0.0
162,163,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.856450393475122e-09,4.936797815629615e-10,9.124172786567929e-09,1.0,0.25,5.0,50.0,0.0
163,164,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.852865306899785e-09,4.703077562944861e-10,9.124339377668173e-09,1.0,0.25,5.0,50.0,0.0
164,165,1,1.2000000000000004,1.3000000000000003,0.5000000000000002,4.849679200624631e-09,4.484643885548401e-10,9.12450597181203e-09,1.0,0.25,5.0,50.0,0.0
